displacement,true_force,predicted_force
0.14700998,0.051879983,0.08127633
0.14709,0.07531746,0.08527548
0.147115,0.037977617,0.048407808
0.1473,0.07928811,0.09897431
0.147305,0.050345384,0.057180554
0.14731501,0.05999565,0.07970159
0.14731501,0.056229893,0.07393337
0.1474,0.058272813,0.071450114
0.1474,0.067181356,0.078271426
0.14749502,0.07482094,0.08895367
0.147595,0.052041378,0.08117426
0.14764,0.06105446,0.087025754
0.18620001,0.065987386,0.08128331
0.18640001,0.063514896,0.07557047
0.18659998,0.07563244,0.08468063
0.1875,0.062483404,0.07935825
0.18770002,0.06708295,0.08183057
0.18770002,0.07583775,0.098262966
0.18770501,0.065115504,0.077823326
0.18780002,0.071156286,0.072238296
0.18780002,0.04843744,0.06327221
0.18788502,0.050118893,0.06106717
0.18788998,0.04852615,0.044330478
0.18788998,0.030382734,0.04250166
0.18789999,0.06640423,0.08077804
0.18798502,0.0612966,0.06831599
0.18798998,0.048295815,0.06849065
0.18799998,0.06206301,0.07389515
0.188455,0.044412807,0.056247685
0.22658502,0.06779648,0.095346294
0.22660002,0.06960069,0.0760329
0.22660002,0.04653584,0.042221066
0.22660002,0.064631976,0.08341834
0.22660002,0.054719634,0.06973984
0.22669998,0.07425734,0.09553185
0.22688499,0.053911947,0.065885544
0.22699,0.05471129,0.050820455
0.22709,0.06101478,0.073232114
0.22718,0.07061667,0.08188331
0.22723998,0.068523645,0.080230445
0.22727,0.05243107,0.056539014
0.22730002,0.07366065,0.07583676
0.22749999,0.073935255,0.08260996
0.22750999,0.065646134,0.080215394
0.22764002,0.05064396,0.06259562
0.22766998,0.055686288,0.066506416
0.227705,0.075671814,0.09309967
0.22804,0.10507237,0.12236243
0.23397997,0.095084,0.09463975
0.264545,0.10287282,0.10942054
0.2666,0.07841282,0.089719474
0.26679996,0.07376914,0.09028753
0.26691,0.06460727,0.074181974
0.26691,0.07018555,0.075735465
0.26712,0.06291257,0.057517692
0.267215,0.062194735,0.051569212
0.26732996,0.06443522,0.06831446
0.26734498,0.048948698,0.045175415
0.267395,0.06950726,0.077524066
0.267445,0.06334489,0.064107254
0.26759002,0.08302983,0.10003503
0.26760003,0.08889152,0.100837074
0.26764,0.061045833,0.06329868
0.26784,0.057780486,0.069141716
0.26809,0.08400086,0.08994374
0.26839998,0.07823141,0.08204802
0.26874998,0.110741645,0.121298485
0.30556998,0.043962587,0.051989533
0.30640003,0.084951304,0.09650892
0.30640003,0.076491386,0.09170607
0.30659,0.08037105,0.089291036
0.30659,0.07443581,0.07858358
0.30669,0.070404045,0.08081686
