sample,point_load_u1_mean,point_load_u2_mean,ranslation_u1_mean,shear_u1_mean,shear_u2_mean,translation_u1_mean,translation_u2_mean,uniaxial_u1_mean,uniaxial_u2_mean,point_load_u1_std,point_load_u2_std,ranslation_u1_std,shear_u1_std,shear_u2_std,translation_u1_std,translation_u2_std,uniaxial_u1_std,uniaxial_u2_std,point_load_u1_p20,point_load_u2_p20,ranslation_u1_p20,shear_u1_p20,shear_u2_p20,translation_u1_p20,translation_u2_p20,uniaxial_u1_p20,uniaxial_u2_p20
074,-49.23,-47.38,,0.1,0.35,-1.28,0.0,-0.31,-2.76,9.76,9.22,,2.83,2.8,0.7,0.02,3.17,6.57,89.41,89.19,,0.15,0.07,0.0,0.0,0.37,2.48
075,-35.09,-34.54,,0.1,0.31,-1.18,0.0,-0.42,-3.81,8.07,9.23,,8.51,2.67,0.63,0.02,2.55,6.88,90.5,87.22,,0.37,0.07,0.0,0.0,0.29,3.65
076,-40.75,-40.3,,-0.72,0.25,-1.85,0.0,-1.07,-3.84,10.18,8.78,,3.93,3.3,0.87,0.03,3.02,7.63,87.87,89.04,,0.66,0.29,0.0,0.0,0.29,3.94
077,-44.38,-44.54,,-0.17,-0.38,-1.34,0.0,-0.72,-3.11,9.67,9.28,,6.56,9.98,0.71,0.03,3.47,6.86,93.2,93.82,,0.39,0.23,0.0,0.0,0.54,3.01
078,-41.53,-38.67,,-1.0,-0.05,-2.54,0.0,-1.94,-3.17,131.27,36.44,,6.28,6.29,1.26,0.03,4.13,6.18,85.25,93.67,,1.24,0.31,0.0,0.0,1.0,2.39
079,-40.25,-38.73,,-0.74,0.08,-1.97,0.0,-1.36,-3.5,11.77,15.48,,3.86,3.28,0.93,0.03,3.53,6.44,88.9,88.39,,0.51,0.37,0.0,0.0,0.58,2.85
080,-40.5,-41.84,,0.01,0.24,-1.36,0.0,-0.69,-3.48,22.63,19.43,,3.35,2.62,0.71,0.03,3.0,6.89,89.04,88.68,,0.51,0.15,0.0,0.0,0.29,3.14
081,-42.96,-43.97,,-0.08,0.02,-1.27,0.0,-0.55,-3.68,9.88,11.06,,2.96,3.19,0.71,0.03,3.27,6.89,89.26,87.87,,0.15,0.44,0.0,0.0,0.58,3.29
082,-36.66,-35.6,,-0.38,0.4,-1.69,0.0,-1.11,-2.58,10.35,6.83,,6.68,3.17,0.79,0.02,3.29,4.6,87.0,88.9,,0.66,0.29,0.0,0.0,0.37,1.1
083,-48.7,-46.44,,-0.66,0.13,-1.74,0.0,-0.78,-3.26,8.6,7.42,,4.37,3.24,0.84,0.03,3.23,6.23,89.34,89.41,,0.58,0.22,0.0,0.0,0.29,2.63
