Frame_ID,Sample_ID,Frame_in_Sample,Filename,MNIST_Digit,Dominant_Class,Accuracy,Accuracy_Percentage,Dominant_Class_Percentage,Total_Pixels,Correct_Pixels,Error_Pixels,Error_Percentage,Num_Classes
24,4,0,004.npz,0,4,0.9910714285714286,99.10714285714286,78.50765306122449,3136,3108,28,0.8928571428571428,2
25,4,1,004.npz,0,4,0.9968112244897959,99.6811224489796,78.50765306122449,3136,3126,10,0.31887755102040816,2
26,4,2,004.npz,0,4,0.9968112244897959,99.6811224489796,78.50765306122449,3136,3126,10,0.31887755102040816,2
27,4,3,004.npz,0,4,0.9920280612244898,99.20280612244898,78.50765306122449,3136,3111,25,0.7971938775510204,2
28,4,4,004.npz,0,4,0.9974489795918368,99.74489795918367,78.50765306122449,3136,3128,8,0.25510204081632654,2
29,4,5,004.npz,0,4,0.9936224489795918,99.36224489795919,78.50765306122449,3136,3116,20,0.6377551020408163,2
30,5,0,005.npz,0,4,0.9872448979591837,98.72448979591837,78.50765306122449,3136,3096,40,1.2755102040816326,2
31,5,1,005.npz,0,4,0.984375,98.4375,78.50765306122449,3136,3087,49,1.5625,2
32,5,2,005.npz,0,4,0.998405612244898,99.8405612244898,78.50765306122449,3136,3131,5,0.15943877551020408,2
33,5,3,005.npz,0,4,0.9885204081632653,98.85204081632652,78.50765306122449,3136,3100,36,1.1479591836734695,2
34,5,4,005.npz,0,4,0.9904336734693877,99.04336734693877,78.50765306122449,3136,3106,30,0.9566326530612245,2
35,5,5,005.npz,0,4,0.9878826530612245,98.78826530612244,78.50765306122449,3136,3098,38,1.211734693877551,2
36,6,0,006.npz,0,4,0.9977678571428571,99.77678571428571,78.50765306122449,3136,3129,7,0.2232142857142857,2
37,6,1,006.npz,0,4,0.9958545918367347,99.58545918367348,78.50765306122449,3136,3123,13,0.4145408163265306,2
38,6,2,006.npz,0,4,0.9818239795918368,98.18239795918367,78.50765306122449,3136,3079,57,1.8176020408163265,2
39,6,3,006.npz,0,4,0.9933035714285714,99.33035714285714,78.50765306122449,3136,3115,21,0.6696428571428571,2
40,6,4,006.npz,0,4,0.9907525510204082,99.07525510204081,78.50765306122449,3136,3107,29,0.9247448979591837,2
41,6,5,006.npz,0,4,0.9926658163265306,99.26658163265306,78.50765306122449,3136,3113,23,0.7334183673469388,2
42,7,0,007.npz,0,4,0.9840561224489796,98.40561224489795,78.50765306122449,3136,3086,50,1.594387755102041,2
43,7,1,007.npz,0,4,0.9837372448979592,98.37372448979592,78.50765306122449,3136,3085,51,1.6262755102040818,2
44,7,2,007.npz,0,4,0.9993622448979592,99.93622448979592,78.50765306122449,3136,3134,2,0.06377551020408163,2
45,7,3,007.npz,0,4,0.9830994897959183,98.30994897959184,78.50765306122449,3136,3083,53,1.6900510204081634,2
