Sample_ID,Filename,File_Number,MNIST_Digit,Dominant_Material_Class,All_Material_Classes,Mask_Shape,Accuracy,Accuracy_Percentage,Total_Pixels,Correct_Pixels,Error_Pixels,Error_Percentage,Num_Classes
70,070.npz,70,0,8,"[4, 8]","(51, 51)",0.9884659746251442,98.84659746251442,2601,2571,30,1.1534025374855825,2
71,071.npz,71,1,9,"[7, 9]","(50, 51)",0.9921568627450981,99.2156862745098,2550,2530,20,0.7843137254901961,2
72,072.npz,72,2,9,"[3, 9]","(50, 51)",0.9894117647058823,98.94117647058823,2550,2523,27,1.0588235294117647,2
73,073.npz,73,3,8,"[4, 8]","(50, 50)",0.976,97.6,2500,2440,60,2.4,2
74,074.npz,74,4,9,"[7, 9]","(50, 51)",0.9890196078431372,98.90196078431373,2550,2522,28,1.0980392156862746,2
75,075.npz,75,5,8,"[0, 8]","(51, 51)",0.988081507112649,98.8081507112649,2601,2570,31,1.1918492887351018,2
76,076.npz,76,6,9,"[3, 9]","(50, 50)",0.988,98.8,2500,2470,30,1.2,2
77,077.npz,77,7,8,"[4, 8]","(50, 51)",0.9901960784313726,99.01960784313727,2550,2525,25,0.9803921568627451,2
78,078.npz,78,8,9,"[7, 9]","(51, 51)",0.9865436370626682,98.65436370626682,2601,2566,35,1.3456362937331794,2
79,079.npz,79,9,8,"[0, 8]","(51, 51)",0.9796232218377547,97.96232218377547,2601,2548,53,2.0376778162245293,2
80,080.npz,80,0,9,"[3, 9]","(51, 51)",0.9757785467128027,97.57785467128028,2601,2538,63,2.422145328719723,2
81,081.npz,81,1,8,"[4, 8]","(51, 51)",0.9803921568627451,98.0392156862745,2601,2550,51,1.9607843137254901,2
82,082.npz,82,2,9,"[7, 9]","(50, 50)",0.9756,97.56,2500,2439,61,2.44,2
83,083.npz,83,3,8,"[0, 8]","(50, 50)",0.9856,98.56,2500,2464,36,1.44,2
84,084.npz,84,4,9,"[3, 9]","(51, 51)",0.972318339100346,97.23183391003461,2601,2529,72,2.768166089965398,2
85,085.npz,85,5,8,"[4, 8]","(51, 51)",0.9834678969627066,98.34678969627066,2601,2558,43,1.6532103037293349,2
86,086.npz,86,6,9,"[7, 9]","(51, 51)",0.9719338715878508,97.19338715878509,2601,2528,73,2.8066128412149176,2
87,087.npz,87,7,8,"[0, 8]","(50, 50)",0.9748,97.48,2500,2437,63,2.52,2
88,088.npz,88,8,9,"[3, 9]","(51, 51)",0.9826989619377162,98.26989619377161,2601,2556,45,1.7301038062283738,2
89,089.npz,89,9,8,"[4, 8]","(51, 51)",0.9923106497500961,99.2310649750096,2601,2581,20,0.7689350249903883,2
